Trial,Policy,Message_ID,Time,Lag_Score,Reward,Partition,Weight_A,Weight_B
1,round_robin,1,0.0,5.0,0.95,0,0.5,0.5
1,round_robin,2,0.01,50.0,0.5,1,0.5,0.5
1,round_robin,3,0.02,5.0,0.95,0,0.5,0.5
1,round_robin,4,0.03,50.0,0.5,1,0.5,0.5
1,round_robin,5,0.04,5.0,0.95,0,0.5,0.5
1,round_robin,6,0.05,50.0,0.5,1,0.5,0.5
1,round_robin,7,0.06,5.0,0.95,0,0.5,0.5
1,round_robin,8,0.07,50.0,0.5,1,0.5,0.5
1,round_robin,9,0.08,5.0,0.95,0,0.5,0.5
1,round_robin,10,0.09,50.0,0.5,1,0.5,0.5
1,round_robin,11,0.1,5.0,0.95,0,0.5,0.5
1,round_robin,12,0.11,50.0,0.5,1,0.5,0.5
1,round_robin,13,0.13,5.0,0.95,0,0.5,0.5
1,round_robin,14,0.14,50.0,0.5,1,0.5,0.5
1,round_robin,15,0.15,5.0,0.95,0,0.5,0.5
1,round_robin,16,0.16,50.0,0.5,1,0.5,0.5
1,round_robin,17,0.17,5.0,0.95,0,0.5,0.5
1,round_robin,18,0.18,50.0,0.5,1,0.5,0.5
1,round_robin,19,0.19,5.0,0.95,0,0.5,0.5
1,round_robin,20,0.2,50.0,0.5,1,0.5,0.5
1,round_robin,21,0.21,5.0,0.95,0,0.5,0.5
1,round_robin,22,0.22,50.0,0.5,1,0.5,0.5
1,round_robin,23,0.23,5.0,0.95,0,0.5,0.5
1,round_robin,24,0.24,50.0,0.5,1,0.5,0.5
1,round_robin,25,0.25,5.0,0.95,0,0.5,0.5
1,round_robin,26,0.26,50.0,0.5,1,0.5,0.5
1,round_robin,27,0.27,5.0,0.95,0,0.5,0.5
1,round_robin,28,0.28,50.0,0.5,1,0.5,0.5
1,round_robin,29,0.29,5.0,0.95,0,0.5,0.5
1,round_robin,30,0.3,50.0,0.5,1,0.5,0.5
1,round_robin,31,0.31,5.0,0.95,0,0.5,0.5
1,round_robin,32,0.32,50.0,0.5,1,0.5,0.5
1,round_robin,33,0.33,5.0,0.95,0,0.5,0.5
1,round_robin,34,0.34,50.0,0.5,1,0.5,0.5
1,round_robin,35,0.35,5.0,0.95,0,0.5,0.5
1,round_robin,36,0.37,50.0,0.5,1,0.5,0.5
1,round_robin,37,0.38,5.0,0.95,0,0.5,0.5
1,round_robin,38,0.39,50.0,0.5,1,0.5,0.5
1,round_robin,39,0.4,5.0,0.95,0,0.5,0.5
1,round_robin,40,0.41,50.0,0.5,1,0.5,0.5
1,round_robin,41,0.42,5.0,0.95,0,0.5,0.5
1,round_robin,42,0.43,50.0,0.5,1,0.5,0.5
1,round_robin,43,0.44,5.0,0.95,0,0.5,0.5
1,round_robin,44,0.45,50.0,0.5,1,0.5,0.5
1,round_robin,45,0.46,5.0,0.95,0,0.5,0.5
1,round_robin,46,0.47,50.0,0.5,1,0.5,0.5
1,round_robin,47,0.48,5.0,0.95,0,0.5,0.5
1,round_robin,48,0.49,50.0,0.5,1,0.5,0.5
1,round_robin,49,0.5,5.0,0.95,0,0.5,0.5
1,round_robin,50,0.51,50.0,0.5,1,0.5,0.5
1,round_robin,51,0.52,5.0,0.95,0,0.5,0.5
1,round_robin,52,0.53,50.0,0.5,1,0.5,0.5
1,round_robin,53,0.54,5.0,0.95,0,0.5,0.5
1,round_robin,54,0.55,50.0,0.5,1,0.5,0.5
1,round_robin,55,0.56,5.0,0.95,0,0.5,0.5
1,round_robin,56,0.58,50.0,0.5,1,0.5,0.5
1,round_robin,57,0.59,5.0,0.95,0,0.5,0.5
1,round_robin,58,0.6,50.0,0.5,1,0.5,0.5
1,round_robin,59,0.61,5.0,0.95,0,0.5,0.5
1,round_robin,60,0.62,50.0,0.5,1,0.5,0.5
1,round_robin,61,0.63,5.0,0.95,0,0.5,0.5
1,round_robin,62,0.64,50.0,0.5,1,0.5,0.5
1,round_robin,63,0.65,5.0,0.95,0,0.5,0.5
1,round_robin,64,0.66,50.0,0.5,1,0.5,0.5
1,round_robin,65,0.67,5.0,0.95,0,0.5,0.5
1,round_robin,66,0.68,50.0,0.5,1,0.5,0.5
1,round_robin,67,0.69,5.0,0.95,0,0.5,0.5
1,round_robin,68,0.7,50.0,0.5,1,0.5,0.5
1,round_robin,69,0.71,5.0,0.95,0,0.5,0.5
1,round_robin,70,0.72,50.0,0.5,1,0.5,0.5
1,round_robin,71,0.73,5.0,0.95,0,0.5,0.5
1,round_robin,72,0.74,50.0,0.5,1,0.5,0.5
1,round_robin,73,0.75,5.0,0.95,0,0.5,0.5
1,round_robin,74,0.76,50.0,0.5,1,0.5,0.5
1,round_robin,75,0.77,5.0,0.95,0,0.5,0.5
1,round_robin,76,0.79,50.0,0.5,1,0.5,0.5
1,round_robin,77,0.8,5.0,0.95,0,0.5,0.5
1,round_robin,78,0.81,50.0,0.5,1,0.5,0.5
1,round_robin,79,0.82,5.0,0.95,0,0.5,0.5
1,round_robin,80,0.83,50.0,0.5,1,0.5,0.5
1,round_robin,81,0.84,5.0,0.95,0,0.5,0.5
1,round_robin,82,0.85,50.0,0.5,1,0.5,0.5
1,round_robin,83,0.86,5.0,0.95,0,0.5,0.5
1,round_robin,84,0.87,50.0,0.5,1,0.5,0.5
1,round_robin,85,0.88,5.0,0.95,0,0.5,0.5
1,round_robin,86,0.89,50.0,0.5,1,0.5,0.5
1,round_robin,87,0.9,5.0,0.95,0,0.5,0.5
1,round_robin,88,0.91,50.0,0.5,1,0.5,0.5
1,round_robin,89,0.92,5.0,0.95,0,0.5,0.5
1,round_robin,90,0.93,50.0,0.5,1,0.5,0.5
1,round_robin,91,0.94,5.0,0.95,0,0.5,0.5
1,round_robin,92,0.95,50.0,0.5,1,0.5,0.5
1,round_robin,93,0.96,5.0,0.95,0,0.5,0.5
1,round_robin,94,0.97,50.0,0.5,1,0.5,0.5
1,round_robin,95,0.98,5.0,0.95,0,0.5,0.5
1,round_robin,96,0.99,50.0,0.5,1,0.5,0.5
1,round_robin,97,1.0,5.0,0.95,0,0.5,0.5
1,round_robin,98,1.02,50.0,0.5,1,0.5,0.5
1,round_robin,99,1.03,5.0,0.95,0,0.5,0.5
1,round_robin,100,1.04,50.0,0.5,1,0.5,0.5
2,neuroroute,1,0.19,50.0,0.5,1,0.5,0.505
2,neuroroute,2,0.27,5.0,0.95,0,0.5045,0.505
2,neuroroute,3,0.34,5.0,0.95,0,0.5045,0.505
2,neuroroute,4,0.41,5.0,0.95,0,0.5045,0.505
2,neuroroute,5,0.49,5.0,0.95,0,0.5045,0.505
2,neuroroute,6,0.56,50.0,0.5,1,0.5,0.505
2,neuroroute,7,0.64,5.0,0.95,0,0.5045,0.505
2,neuroroute,8,0.71,50.0,0.5,1,0.5,0.505
2,neuroroute,9,0.78,5.0,0.95,0,0.5045,0.505
2,neuroroute,10,0.86,50.0,0.5,1,0.5,0.505
2,neuroroute,11,0.93,5.0,0.95,0,0.5045,0.505
2,neuroroute,12,1.01,5.0,0.95,0,0.5045,0.505
2,neuroroute,13,1.08,5.0,0.95,0,0.5045,0.505
2,neuroroute,14,1.15,50.0,0.5,1,0.5,0.505
2,neuroroute,15,1.23,5.0,0.95,0,0.5045,0.505
2,neuroroute,16,1.3,50.0,0.5,1,0.5,0.505
2,neuroroute,17,1.37,50.0,0.5,1,0.5,0.505
2,neuroroute,18,1.45,50.0,0.5,1,0.5,0.505
2,neuroroute,19,1.52,5.0,0.95,0,0.5045,0.505
2,neuroroute,20,1.6,5.0,0.95,0,0.5045,0.505
2,neuroroute,21,1.67,5.0,0.95,0,0.5045,0.505
2,neuroroute,22,1.74,5.0,0.95,0,0.5045,0.505
2,neuroroute,23,1.81,50.0,0.5,1,0.5,0.505
2,neuroroute,24,1.89,5.0,0.95,0,0.5045,0.505
2,neuroroute,25,1.96,5.0,0.95,0,0.5045,0.505
2,neuroroute,26,2.04,5.0,0.95,0,0.5045,0.505
2,neuroroute,27,2.14,50.0,0.5,1,0.5,0.505
2,neuroroute,28,2.21,5.0,0.95,0,0.5045,0.505
2,neuroroute,29,2.29,50.0,0.5,1,0.5,0.505
2,neuroroute,30,2.36,50.0,0.5,1,0.5,0.505
2,neuroroute,31,2.44,50.0,0.5,1,0.5,0.505
2,neuroroute,32,2.51,50.0,0.5,1,0.5,0.505
2,neuroroute,33,2.59,5.0,0.95,0,0.5045,0.505
2,neuroroute,34,2.66,5.0,0.95,0,0.5045,0.505
2,neuroroute,35,2.73,5.0,0.95,0,0.5045,0.505
2,neuroroute,36,2.8,50.0,0.5,1,0.5,0.505
2,neuroroute,37,2.88,5.0,0.95,0,0.5045,0.505
2,neuroroute,38,2.95,5.0,0.95,0,0.5045,0.505
2,neuroroute,39,3.03,5.0,0.95,0,0.5045,0.505
2,neuroroute,40,3.1,5.0,0.95,0,0.5045,0.505
2,neuroroute,41,3.17,5.0,0.95,0,0.5045,0.505
2,neuroroute,42,3.25,5.0,0.95,0,0.5045,0.505
2,neuroroute,43,3.32,5.0,0.95,0,0.5045,0.505
2,neuroroute,44,3.4,50.0,0.5,1,0.5,0.505
2,neuroroute,45,3.47,5.0,0.95,0,0.5045,0.505
2,neuroroute,46,3.54,5.0,0.95,0,0.5045,0.505
2,neuroroute,47,3.62,50.0,0.5,1,0.5,0.505
2,neuroroute,48,3.69,50.0,0.5,1,0.5,0.505
2,neuroroute,49,3.76,5.0,0.95,0,0.5045,0.505
2,neuroroute,50,3.84,5.0,0.95,0,0.5045,0.505
2,neuroroute,51,3.91,50.0,0.5,1,0.5,0.505
2,neuroroute,52,3.98,5.0,0.95,0,0.5045,0.505
2,neuroroute,53,4.06,5.0,0.95,0,0.5045,0.505
2,neuroroute,54,4.13,50.0,0.5,1,0.5,0.505
2,neuroroute,55,4.2,5.0,0.95,0,0.5045,0.505
2,neuroroute,56,4.27,5.0,0.95,0,0.5045,0.505
2,neuroroute,57,4.35,5.0,0.95,0,0.5045,0.505
2,neuroroute,58,4.42,50.0,0.5,1,0.5,0.505
2,neuroroute,59,4.5,50.0,0.5,1,0.5,0.505
2,neuroroute,60,4.57,5.0,0.95,0,0.5045,0.505
2,neuroroute,61,4.64,5.0,0.95,0,0.5045,0.505
2,neuroroute,62,4.71,5.0,0.95,0,0.5045,0.505
2,neuroroute,63,4.79,5.0,0.95,0,0.5045,0.505
2,neuroroute,64,4.86,50.0,0.5,1,0.5,0.505
2,neuroroute,65,4.94,50.0,0.5,1,0.5,0.505
2,neuroroute,66,5.01,5.0,0.95,0,0.5045,0.505
2,neuroroute,67,5.08,50.0,0.5,1,0.5,0.505
2,neuroroute,68,5.16,5.0,0.95,0,0.5045,0.505
2,neuroroute,69,5.24,5.0,0.95,0,0.5045,0.505
2,neuroroute,70,5.31,5.0,0.95,0,0.5045,0.505
